model,layer,dose,n,mean_cos,kl_c,kl_b,dkl,ci,z_sign,flip_c,flip_b,logp_c,logp_b
pythia,1,0.05,150,-0.913908383410663,4238334.0,1360524.0,2877810.0,517504.0596657874,9.634659226677666,0.8600000143051147,0.41333332657814026,-6.8419671058654785,-3.876891613006592
pythia,1,0.2,150,-0.913908383410663,3465250.25,1131287.625,2333962.75,572735.2825760257,8.328264483058554,0.7599999904632568,0.35333332419395447,-5.5984578132629395,-3.7459216117858887
pythia,1,0.4,150,-0.913908383410663,1574687.375,622032.125,952655.125,529270.7903022061,7.185170359900284,0.3866666555404663,0.273333340883255,-3.8485169410705566,-3.44626784324646
pythia,3,0.05,150,-0.8705773992540429,4952554.0,2223940.5,2728613.25,387971.562158985,10.451156488943234,0.7666666507720947,0.54666668176651,-7.347815990447998,-4.502811431884766
pythia,3,0.2,150,-0.8705773992540429,5502130.5,2244194.5,3257936.75,426308.54653569905,10.777754809845597,0.7866666913032532,0.5133333206176758,-7.160804748535156,-4.466820240020752
pythia,3,0.4,150,-0.8705773992540429,2530401.0,1300590.25,1229810.5,273952.2955656642,9.308060905775303,0.3733333349227905,0.36666667461395264,-3.98130202293396,-3.655860185623169
pythia,5,0.05,150,-0.990610002768822,84320976.0,23472738.0,60848236.0,4453179.6159334015,10.941053970296778,0.8999999761581421,0.846666693687439,-28.75404930114746,-19.191335678100586
pythia,5,0.2,150,-0.990610002768822,2957362.25,12287051.0,-9329688.0,1587772.7626574773,-11.104353495750374,0.699999988079071,0.8333333134651184,-6.222324848175049,-14.725516319274902
pythia,5,0.4,150,-0.990610002768822,263218.34375,4297088.5,-4033870.0,630015.8122918097,-8.491564373514565,0.3199999928474426,0.8199999928474426,-3.6605374813079834,-9.897249221801758
