model,layer,dose,n,mean_cos,kl_c,kl_b,dkl,ci,z_sign,flip_c,flip_b,logp_c,logp_b
gpt2,2,0.05,150,-0.963484819304063,2911313.75,2711862.0,199451.703125,730410.2012556862,-0.8164965322607373,0.9466666579246521,0.7333333492279053,-10.36215591430664,-5.623584747314453
gpt2,2,0.2,150,-0.963484819304063,3663023.25,2257568.25,1405455.375,779625.8913214154,0.9797964227167487,0.8533333539962769,0.6200000047683716,-7.582465171813965,-5.295712947845459
gpt2,2,0.4,150,-0.963484819304063,1552339.625,1795371.5,-243031.859375,332316.87105376605,-3.102686968591768,0.5066666603088379,0.5400000214576721,-4.443546772003174,-4.679267883300781
gpt2,6,0.05,150,-0.899259808626589,2626692.0,2025830.375,600861.6875,524704.5192929258,1.6329930645214745,0.9133333563804626,0.6133333444595337,-9.405095100402832,-5.3834309577941895
gpt2,6,0.2,150,-0.899259808626589,2082951.625,1711534.875,371416.8125,503134.14686917124,0.16329916045118145,0.846666693687439,0.6066666841506958,-8.347936630249023,-5.289005756378174
gpt2,6,0.4,150,-0.899259808626589,687525.1875,899720.875,-212195.703125,295133.04684370395,-1.9595921154286675,0.46666666865348816,0.4466666579246521,-4.564775466918945,-4.38815975189209
gpt2,10,0.05,150,-0.911838230952009,2961381.25,1388084.5,1573296.875,533482.4274525123,5.388878134927628,0.8266666531562805,0.653333306312561,-7.934281349182129,-5.452253818511963
gpt2,10,0.2,150,-0.911838230952009,2042908.75,1149283.625,893625.25,349389.52674592,6.042074776732354,0.699999988079071,0.6266666650772095,-6.54558801651001,-5.2524943351745605
gpt2,10,0.4,150,-0.911838230952009,554472.4375,698756.6875,-144284.28125,300541.4332388833,5.878775616281173,0.36666667461395264,0.47999998927116394,-4.289022922515869,-4.471982955932617
