mode,seed,step,train_loss,val_loss,fire_rate
rotate,1,1,170.69915771484375,157.50797058105468,0.0
rotate,1,250,2.5277819633483887,2.554877047538757,0.0
rotate,1,500,2.505519151687622,2.4612590575218203,0.0
rotate,1,750,2.25492262840271,2.2787902307510377,0.0
rotate,1,1000,2.147764205932617,2.1456616520881653,0.0
rotate,1,1250,2.0653371810913086,2.083815276622772,0.0
rotate,1,1500,1.9635392427444458,2.0023879647254943,0.0
rotate,1,1750,1.8092594146728516,1.9192017757892608,0.0
rotate,1,2000,1.8573745489120483,1.8683430242538452,0.0
rotate,1,2250,1.7417668104171753,1.820534086227417,0.0
rotate,1,2500,1.6632565259933472,1.7721093082427979,0.0
rotate,1,2750,1.621997356414795,1.7330439591407776,3.4877232142857143e-07
rotate,1,3000,1.6149626970291138,1.6964279007911682,1.220703125e-06
rotate,1,3250,1.5227782726287842,1.665616717338562,4.708426339285714e-06
rotate,1,3500,1.5626863241195679,1.6386450481414796,8.021763392857142e-06
rotate,1,3750,1.5106606483459473,1.6186404895782471,1.6043526785714285e-05
rotate,1,4000,1.4920991659164429,1.6141416656970977,3.5400390625e-05
rotate,1,4250,1.4518074989318848,1.5953831279277801,3.627232142857143e-05
rotate,1,4500,1.4393914937973022,1.5823302745819092,5.7547433035714285e-05
rotate,1,4750,1.443969488143921,1.5776777970790863,7.9345703125e-05
rotate,1,5000,1.4409980773925781,1.571908484697342,8.806501116071428e-05
rotate,1,5250,1.4284230470657349,1.5685776746273041,0.00011439732142857143
rotate,1,5500,1.4421086311340332,1.565659885406494,0.00010968889508928571
rotate,1,5750,1.4210748672485352,1.5633950090408326,0.00011021205357142856
rotate,1,6000,1.4949387311935425,1.5559820282459258,0.00011387416294642857
