N,rho_N,rho_N_dec,L_base,L_dec,L_gate,L_mtl,L_mtl_dec,corr_pw_rho
2,0.541469395160675,0.7209030389785767,0.3110944628715515,0.35757118463516235,0.3110944628715515,0.34295350313186646,0.3526986539363861,0.9853226542472839
4,0.5528270602226257,0.5069600939750671,0.2961019277572632,0.30584704875946045,0.2961019277572632,0.2972263991832733,0.33152173459529877,0.8698683977127075
8,0.6147803664207458,0.3563916087150574,0.2646176815032959,0.2893553376197815,0.2646176815032959,0.25440404564142227,0.2637743577361107,0.8052486777305603
16,0.6568751931190491,0.2511356472969055,0.265367329120636,0.30509746074676514,0.265367329120636,0.25613755732774734,0.2653673142194748,0.8135026693344116
