model,layer,n,candidate,sigma_mean,sigma_median
pythia,1,149,readout_norm,22.72732947860462,18.832697151752203
pythia,1,149,umci,0.4464329406840947,0.3288556579194757
pythia,1,149,lia,0.03827087794133265,0.03395617753267288
pythia,1,149,lcm_quad,-0.16059642016002168,-0.012647108154492104
pythia,1,149,cerlc,-0.07356892441640663,-0.06868384537415886
pythia,1,149,ent_ratio,3.955422999674842,1.1834334135055542
pythia,1,149,entdiff_rot,0.002327506328253495,-0.00014807775503378195
pythia,1,149,topspan,0.9063021556160633,0.9583816307569791
pythia,1,149,eig_align,0.26254405643815965,0.26586630940437317
pythia,1,149,eig_mass,0.91540425375804,0.9159480929374695
pythia,1,149,cni,0.6438446570752581,0.6831711435242285
pythia,1,149,pencil_gap,0.9299516792155567,0.9819534489039949
pythia,1,149,downstream_sens,101.3229289598913,83.4696044921875
pythia,3,149,readout_norm,57.02167063177334,55.26713240835836
pythia,3,149,umci,0.17248253264936206,0.10909102935699759
pythia,3,149,lia,0.0584063270121963,0.05760840326547623
pythia,3,149,lcm_quad,-2.400787686794667,-1.1379670587193136
pythia,3,149,cerlc,-0.2370701906617284,-0.21591916237412237
pythia,3,149,ent_ratio,1.7548977390444218,1.1449826955795288
pythia,3,149,entdiff_rot,0.5677619205096857,0.28912499291806526
pythia,3,149,topspan,0.9593169559165551,0.9912612390623126
pythia,3,149,eig_align,0.42369424751740975,0.4069478511810303
pythia,3,149,eig_mass,0.8412518357270516,0.8464283347129822
pythia,3,149,cni,0.6823373709318208,0.7097823666163865
pythia,3,149,pencil_gap,0.9925458243659268,0.9973925827859536
pythia,3,149,downstream_sens,118.25087725236112,108.36470794677734
pythia,5,149,readout_norm,545.6263373911604,546.1488191512126
pythia,5,149,umci,0.002709059921997348,0.002474070254375754
pythia,5,149,lia,0.10244278843833396,0.09344179928302765
pythia,5,149,lcm_quad,-4016.5515489401078,-2383.9820387969266
pythia,5,149,cerlc,-1.2295183432804744,-1.2999827560576245
pythia,5,149,ent_ratio,0.26046361356044523,0.18279284238815308
pythia,5,149,entdiff_rot,-0.9458548764516774,-0.32270363173837335
pythia,5,149,topspan,0.9999398248513093,0.9999407816345022
pythia,5,149,eig_align,0.981112116535238,0.9835242033004761
pythia,5,149,eig_mass,0.9974189112650468,0.9974939823150635
pythia,5,149,cni,0.19054084306962688,0.16357352929120406
pythia,5,149,pencil_gap,0.999998050791736,0.9999984873050668
pythia,5,149,downstream_sens,560.3930799241034,535.220458984375
gpt2,2,149,readout_norm,114.87768505717442,114.62683896217685
gpt2,2,149,umci,0.11119301524469201,0.0865614598479002
gpt2,2,149,lia,0.06812914862178716,0.056155554950237274
gpt2,2,149,lcm_quad,43.72114445269535,84.20689561244978
gpt2,2,149,cerlc,-13.642779576170797,-11.821568195319065
gpt2,2,149,ent_ratio,36.31115363423256,1.1686177253723145
gpt2,2,149,entdiff_rot,0.3114420820475797,0.17520373313615972
gpt2,2,149,topspan,0.9650887369910273,0.9713512805764816
gpt2,2,149,eig_align,0.3716236431926689,0.37925806641578674
gpt2,2,149,eig_mass,0.3716236489931209,0.3792581558227539
gpt2,2,149,cni,0.42658036050098913,0.3624411248645833
gpt2,2,149,pencil_gap,0.9959215084516693,0.9981440770250869
gpt2,2,149,downstream_sens,129.4242200115383,55.368133544921875
gpt2,6,149,readout_norm,123.43396438693124,126.68622702197892
gpt2,6,149,umci,0.15395502943938671,0.15467762736373195
gpt2,6,149,lia,0.10512091212549665,0.10736289620399475
gpt2,6,149,lcm_quad,59.08024965861241,171.3460850720586
gpt2,6,149,cerlc,-21.37491205303546,-21.93361125995956
gpt2,6,149,ent_ratio,17.397455525959547,1.0486549139022827
gpt2,6,149,entdiff_rot,0.3767058009581908,0.26979487887152265
gpt2,6,149,topspan,0.969148227848896,0.9741458402408002
gpt2,6,149,eig_align,0.3877557612105504,0.39627742767333984
gpt2,6,149,eig_mass,0.3877557615105738,0.39627745747566223
gpt2,6,149,cni,0.6223215251751729,0.645826718741636
gpt2,6,149,pencil_gap,0.9936117643069593,0.9940207318049671
gpt2,6,149,downstream_sens,78.98960548119257,46.22007369995117
gpt2,10,149,readout_norm,157.94294770745756,157.9847480124058
gpt2,10,149,umci,0.11307110163358722,0.11652896363069339
gpt2,10,149,lia,0.11215351900748359,0.11314962804317474
gpt2,10,149,lcm_quad,676.4547173616087,1341.7607371682511
gpt2,10,149,cerlc,-75.31230124856403,-78.10199436707765
gpt2,10,149,ent_ratio,27.3697090741972,1.2357646226882935
gpt2,10,149,entdiff_rot,-0.10348465593989963,-0.00048412400681109395
gpt2,10,149,topspan,0.9844466507485417,0.9856607944837324
gpt2,10,149,eig_align,0.31280033990440753,0.31161344051361084
gpt2,10,149,eig_mass,0.8234887027100428,0.8277401924133301
gpt2,10,149,cni,0.5714426664093459,0.5892170557914845
gpt2,10,149,pencil_gap,0.9965719289027131,0.9966123031127667
gpt2,10,149,downstream_sens,24.844903869116866,19.319143295288086
