mode,seed,step,train_loss,val_loss,fire_rate
baseline,1,1,170.69915771484375,157.50797088623048,0.0
baseline,1,250,2.5196239948272705,2.54551038980484,0.0
baseline,1,500,2.5157997608184814,2.45848646402359,0.0
baseline,1,750,2.2569589614868164,2.2966662311553954,0.0
baseline,1,1000,2.157477617263794,2.1481489968299865,0.0
baseline,1,1250,2.083433151245117,2.0767954421043395,0.0
baseline,1,1500,1.9667073488235474,2.014420771598816,0.0
baseline,1,1750,1.809945821762085,1.9164611625671386,0.0
baseline,1,2000,1.8548790216445923,1.8700688147544862,0.0
baseline,1,2250,1.7392183542251587,1.8231159341335297,0.0
baseline,1,2500,1.6701152324676514,1.7743383276462554,0.0
baseline,1,2750,1.6258691549301147,1.7358835470676421,0.0
baseline,1,3000,1.6235308647155762,1.6992587876319885,0.0
baseline,1,3250,1.5231122970581055,1.6711011660099029,0.0
baseline,1,3500,1.5656272172927856,1.6386981582641602,0.0
baseline,1,3750,1.50676429271698,1.6253964745998382,0.0
baseline,1,4000,1.4955744743347168,1.61582821726799,0.0
baseline,1,4250,1.4528402090072632,1.5980556666851045,0.0
baseline,1,4500,1.4405581951141357,1.588530526161194,0.0
baseline,1,4750,1.4468741416931152,1.5804004991054534,0.0
baseline,1,5000,1.4449841976165771,1.5738077807426452,0.0
baseline,1,5250,1.4339271783828735,1.5712777161598206,0.0
baseline,1,5500,1.4518988132476807,1.567857117652893,0.0
baseline,1,5750,1.4208917617797852,1.565291429758072,0.0
baseline,1,6000,1.5011597871780396,1.5585027635097504,0.0
