L_base,L_gate,L_rot,acc_base,acc_mlp,acc_oracle,acc_rot,alarm_rate,bias,c,d,delta_p,mean_c,mlp_params,norm_dev,null_tail,orth_max,p_null,p_real,p_tail,precision,q,r,r2_base,r2_rot,rho_at_c_minus1,rot_rate,se,tau,tau_c,var_c
0.11299997568130493,0.11299997568130493,0.11400002241134644,,,,,,,-0.5,,,,,2.384185791015625e-07,,6.239861249923706e-08,,,,,Q3Q4,0.25,0.49300098419189453,0.49300098419189453,,0.0,,,,
0.11750000715255737,0.11750000715255737,0.11750000715255737,,,,,,,-0.3,,,,,2.384185791015625e-07,,4.0279701352119446e-08,,,,,Q3Q4,0.25,0.45155778527259827,0.45155778527259827,,0.0,,,,
0.10399997234344482,0.10399997234344482,0.10399997234344482,,,,,,,0.0,,,,,1.1920928955078125e-07,,9.313225746154785e-09,,,,,Q3Q4,0.25,0.48275336623191833,0.48275336623191833,,0.0,,,,
0.09249997138977051,0.09249997138977051,0.09600001573562622,,,,,,,0.3,,,,,2.384185791015625e-07,,3.725290298461914e-08,,,,,Q3Q4,0.25,0.5871734619140625,0.5871734619140625,,0.0,,,,
0.09200000762939453,0.09200000762939453,0.10399997234344482,,,,,,,0.5,,,,,2.384185791015625e-07,,5.681067705154419e-08,,,,,Q3Q4,0.25,0.6860361099243164,0.6860361099243164,,0.0,,,,
0.06000000238418579,0.06000000238418579,0.08749997615814209,,,,,,,0.8,,,,,3.5762786865234375e-07,,1.0896474123001099e-07,,,,,Q3Q4,0.25,0.8648172616958618,0.8648172616958618,,0.0,,,,
0.046999990940093994,0.046999990940093994,0.08950001001358032,,,,,,,1.0,,,,,3.5762786865234375e-07,,0.0001726956106722355,,,,,Q3Q4,0.25,1.0,1.0,,0.0,,,,
0.04250001907348633,0.04250001907348633,0.1434999704360962,,,,,,,-1.0,,,,,3.5762786865234375e-07,,0.00034538842737674713,,,,,Q3Q4,0.5,1.0,1.0,,0.0,,,,
0.16100001335144043,0.16100001335144043,0.1850000023841858,,,,,,,-0.9,,,,,5.960464477539062e-07,,3.6600977182388306e-07,,,,,Q3Q4,0.5,0.649200439453125,0.649200439453125,,0.0,,,,
0.18150001764297485,0.18150001764297485,0.18150001764297485,,,,,,,-0.8,,,,,3.5762786865234375e-07,,2.0116567611694336e-07,,,,,Q3Q4,0.5,0.48358312249183655,0.48358312249183655,,0.0,,,,
0.21450001001358032,0.21450001001358032,0.20249998569488525,,,,,,,-0.7,,,,,2.384185791015625e-07,,1.862645149230957e-07,,,,,Q3Q4,0.5,0.40144070982933044,0.40144070982933044,,0.0,,,,
0.21299999952316284,0.21299999952316284,0.19950002431869507,,,,,,,-0.5,,,,,2.384185791015625e-07,,1.1688098311424255e-07,,,,,Q3Q4,0.5,0.35289251804351807,0.35289251804351807,,0.0,,,,
