mode,seed,step,train_loss,val_loss,fire_rate
attenuate,0,1,171.45147705078125,157.2403190612793,0.0
attenuate,0,250,2.6272878646850586,2.512582490444183,0.0
attenuate,0,500,2.4883084297180176,2.448324613571167,0.0
attenuate,0,750,2.304222583770752,2.3046813368797303,0.0
attenuate,0,1000,2.1631131172180176,2.165498971939087,0.0
attenuate,0,1250,2.067384719848633,2.1001899456977844,0.0
attenuate,0,1500,2.0650463104248047,2.033458811044693,0.0
attenuate,0,1750,1.9526684284210205,1.9935535323619842,0.0
attenuate,0,2000,1.8486140966415405,1.9300008618831634,0.0
attenuate,0,2250,1.7747306823730469,1.8659013855457305,0.0
attenuate,0,2500,1.730959177017212,1.80207293510437,0.0
attenuate,0,2750,1.6926562786102295,1.7662257587909698,0.0
attenuate,0,3000,1.6323624849319458,1.730763602256775,0.0
attenuate,0,3250,1.6265497207641602,1.7010145032405852,0.0
attenuate,0,3500,1.5469446182250977,1.6740033280849458,0.0
attenuate,0,3750,1.547683596611023,1.6480838322639466,2.964564732142857e-06
attenuate,0,4000,1.5353543758392334,1.6354286181926727,8.719308035714285e-06
attenuate,0,4250,1.5092692375183105,1.6215458750724792,1.4125279017857143e-05
attenuate,0,4500,1.475911021232605,1.6126382768154144,1.5694754464285713e-05
attenuate,0,4750,1.468947172164917,1.600915358066559,1.552036830357143e-05
attenuate,0,5000,1.5132341384887695,1.5975138223171235,1.7264229910714286e-05
attenuate,0,5250,1.381411075592041,1.589570072889328,1.8833705357142856e-05
attenuate,0,5500,1.4633936882019043,1.590047801733017,1.5869140625e-05
attenuate,0,5750,1.4683314561843872,1.5867811298370362,1.8833705357142856e-05
attenuate,0,6000,1.4368865489959717,1.5854130709171295,1.953125e-05
