config,method,recon_mse,r2_mean,r2_min,c_mse,c_corr,c_hat_mae
"d= 16, cos=-0.875",Summe (Baseline),0.09785521775484085,0.10306508094072342,0.032495081424713135,0.13760825991630554,,
"d= 16, cos=-0.875",Referenz [Summe|Differenz],0.0012415627716109157,0.9885990023612976,0.9868989586830139,0.03347203880548477,,
"d= 16, cos=-0.875",D-LoRA (gelernt),0.0002725800732150674,0.997498095035553,0.9970704913139343,0.026556335389614105,,0.0674736499786377
"d= 16, cos=-0.625",Summe (Baseline),0.0861402079463005,0.21361494064331055,0.15450507402420044,0.2836690843105316,,
"d= 16, cos=-0.625",Referenz [Summe|Differenz],0.0012448023771867156,0.9886186718940735,0.9867569804191589,0.02779599092900753,,
"d= 16, cos=-0.625",D-LoRA (gelernt),0.0002684835344552994,0.9975449442863464,0.997221827507019,0.020314104855060577,,0.05147000029683113
"d= 16, cos=-0.375",Summe (Baseline),0.07143786549568176,0.3238511085510254,0.2522280812263489,0.34537458419799805,,
"d= 16, cos=-0.375",Referenz [Summe|Differenz],0.0012328359298408031,0.9883142113685608,0.9861956834793091,0.022807307541370392,,
"d= 16, cos=-0.375",D-LoRA (gelernt),0.00027001716080121696,0.9974411725997925,0.9971012473106384,0.011471801437437534,,0.008027050644159317
"d= 16, cos=-0.125",Summe (Baseline),0.06136475130915642,0.4373030662536621,0.39864975214004517,0.4539480209350586,,
"d= 16, cos=-0.125",Referenz [Summe|Differenz],0.0012346053263172507,0.988671064376831,0.9873751401901245,0.021459929645061493,,
"d= 16, cos=-0.125",D-LoRA (gelernt),0.0002710828557610512,0.9975130558013916,0.9972184300422668,0.009053245186805725,,0.0016424597706645727
"d= 16, cos=+0.125",Summe (Baseline),0.04928899556398392,0.5484564304351807,0.48853445053100586,0.5810237526893616,,
"d= 16, cos=+0.125",Referenz [Summe|Differenz],0.0012495083501562476,0.988554835319519,0.987217903137207,0.01994478702545166,,
"d= 16, cos=+0.125",D-LoRA (gelernt),0.0002699499891605228,0.9975228905677795,0.9971978068351746,0.009350113570690155,,0.0014154949458315969
"d= 16, cos=+0.375",Summe (Baseline),0.037872038781642914,0.6607882380485535,0.6189463138580322,0.788497269153595,,
"d= 16, cos=+0.375",Referenz [Summe|Differenz],0.0012461143778637052,0.9888309240341187,0.9875208735466003,0.021823696792125702,,
"d= 16, cos=+0.375",D-LoRA (gelernt),0.00026631931541487575,0.9976128935813904,0.9972079992294312,0.012233774177730083,,0.004840833600610495
"d= 16, cos=+0.625",Summe (Baseline),0.024338498711586,0.772080659866333,0.7453306317329407,0.91673743724823,,
"d= 16, cos=+0.625",Referenz [Summe|Differenz],0.0012291326420381665,0.9884783029556274,0.9868500232696533,0.02346164546906948,,
"d= 16, cos=+0.625",D-LoRA (gelernt),0.0002684352803044021,0.9974825382232666,0.9971163868904114,0.018411502242088318,,0.029430527240037918
"d= 16, cos=+0.875",Summe (Baseline),0.01256007794290781,0.8855900764465332,0.8735404014587402,1.1117020845413208,,
"d= 16, cos=+0.875",Referenz [Summe|Differenz],0.001234739669598639,0.9887474775314331,0.987419843673706,0.03163100779056549,,
"d= 16, cos=+0.875",D-LoRA (gelernt),0.00026972833438776433,0.9975418448448181,0.9971146583557129,0.02758360654115677,,0.06671580672264099
"d= 64, cos=-0.875",Summe (Baseline),0.02510606311261654,0.08660916984081268,0.011658847332000732,0.1803392916917801,,
"d= 64, cos=-0.875",Referenz [Summe|Differenz],0.0012299492955207825,0.9551719427108765,0.946860671043396,0.6208412051200867,,
