config,method,recon_mse,r2_mean,r2_min,c_mse,c_corr,c_hat_mae
"d= 64, cos=-0.875",D-LoRA (gelernt),0.0002755558234639466,0.9899598360061646,0.9881753325462341,0.31093138456344604,,0.06512625515460968
"d= 64, cos=-0.625",Summe (Baseline),0.021525710821151733,0.19498416781425476,0.11866641044616699,0.36461371183395386,,
"d= 64, cos=-0.625",Referenz [Summe|Differenz],0.001230077352374792,0.9538998007774353,0.9465226531028748,0.46923884749412537,,
"d= 64, cos=-0.625",D-LoRA (gelernt),0.0002746894024312496,0.9897089004516602,0.9881860613822937,0.25589874386787415,,0.04195963218808174
"d= 64, cos=-0.375",Summe (Baseline),0.01921684481203556,0.3051641881465912,0.2323889136314392,0.5615013837814331,,
"d= 64, cos=-0.375",Referenz [Summe|Differenz],0.0012312602484598756,0.9554315805435181,0.9477578997612,0.44183406233787537,,
"d= 64, cos=-0.375",D-LoRA (gelernt),0.00027537293499335647,0.9900287985801697,0.9884902238845825,0.2126976102590561,,0.006127620581537485
"d= 64, cos=-0.125",Summe (Baseline),0.016009986400604248,0.41643697023391724,0.3437056541442871,0.7555863857269287,,
"d= 64, cos=-0.125",Referenz [Summe|Differenz],0.0012296084314584732,0.95513516664505,0.945737898349762,0.4094454348087311,,
"d= 64, cos=-0.125",D-LoRA (gelernt),0.0002760105999186635,0.9899287819862366,0.9883067607879639,0.22519803047180176,,0.003535662777721882
"d= 64, cos=+0.125",Summe (Baseline),0.012992389500141144,0.5253562331199646,0.4381682276725769,0.8947937488555908,,
"d= 64, cos=+0.125",Referenz [Summe|Differenz],0.0012327578151598573,0.9549008011817932,0.9443880915641785,0.520193874835968,,
"d= 64, cos=+0.125",D-LoRA (gelernt),0.00027565236086957157,0.9899157881736755,0.9882023930549622,0.22094084322452545,,0.004517916589975357
"d= 64, cos=+0.375",Summe (Baseline),0.00997003260999918,0.6368811726570129,0.5942237377166748,1.1541873216629028,,
"d= 64, cos=+0.375",Referenz [Summe|Differenz],0.0012394224759191275,0.9548059105873108,0.9476183652877808,0.5157344937324524,,
"d= 64, cos=+0.375",D-LoRA (gelernt),0.0002747791586443782,0.989983320236206,0.9876900315284729,0.2610927224159241,,0.003749503754079342
"d= 64, cos=+0.625",Summe (Baseline),0.006833897903561592,0.7489948868751526,0.6749716401100159,1.366730809211731,,
"d= 64, cos=+0.625",Referenz [Summe|Differenz],0.0012335791252553463,0.9546808004379272,0.946487307548523,0.6123355627059937,,
"d= 64, cos=+0.625",D-LoRA (gelernt),0.00027541443705558777,0.9898785352706909,0.9883185625076294,0.3030931055545807,,0.013301636092364788
"d= 64, cos=+0.875",Summe (Baseline),0.0039445022121071815,0.8577510118484497,0.8337319493293762,1.5031015872955322,,
"d= 64, cos=+0.875",Referenz [Summe|Differenz],0.001231594942510128,0.9555147886276245,0.945565938949585,0.75003582239151,,
"d= 64, cos=+0.875",D-LoRA (gelernt),0.0002742128272075206,0.9901062250137329,0.9883066415786743,0.3902960419654846,,0.05921664088964462
"d=512, cos=-0.875",Summe (Baseline),0.0035203867591917515,-0.029989425092935562,-0.15196287631988525,0.05709196999669075,,
"d=512, cos=-0.875",Referenz [Summe|Differenz],0.0011034882627427578,0.6766605377197266,0.6059247255325317,0.5140834450721741,,
"d=512, cos=-0.875",D-LoRA (gelernt),0.0003198482154402882,0.9062319397926331,0.886628270149231,0.5618294477462769,,0.06106352433562279
"d=512, cos=-0.625",Summe (Baseline),0.003216634737327695,0.07033365964889526,-0.06104588508605957,0.07515744119882584,,
"d=512, cos=-0.625",Referenz [Summe|Differenz],0.0011132718063890934,0.6777701377868652,0.6082181334495544,0.48432251811027527,,
"d=512, cos=-0.625",D-LoRA (gelernt),0.0003241554368287325,0.9061373472213745,0.8840910196304321,0.3943434953689575,,0.019428128376603127
"d=512, cos=-0.375",Summe (Baseline),0.002942869672551751,0.15464481711387634,0.04424005746841431,0.1461687684059143,,
"d=512, cos=-0.375",Referenz [Summe|Differenz],0.0011996999382972717,0.655004620552063,0.5701493620872498,0.26136910915374756,,
"d=512, cos=-0.375",D-LoRA (gelernt),0.0003285958373453468,0.9054722785949707,0.8815262317657471,0.3002403676509857,,0.014389785006642342
"d=512, cos=-0.125",Summe (Baseline),0.0025796282570809126,0.2416166067123413,0.12296229600906372,0.21623413264751434,,
"d=512, cos=-0.125",Referenz [Summe|Differenz],0.001192455063574016,0.6490613222122192,0.5808239579200745,0.16074611246585846,,
"d=512, cos=-0.125",D-LoRA (gelernt),0.0003266383719164878,0.9038406610488892,0.8801251649856567,0.2094537913799286,,0.012406517751514912
"d=512, cos=+0.125",Summe (Baseline),0.0022843319457024336,0.33453041315078735,0.2020033597946167,0.2976799011230469,,
"d=512, cos=+0.125",Referenz [Summe|Differenz],0.0011943904682993889,0.651662290096283,0.5735297799110413,0.1812860369682312,,
"d=512, cos=+0.125",D-LoRA (gelernt),0.00032663665479049087,0.9047030806541443,0.8832116723060608,0.229474276304245,,0.018567893654108047
"d=512, cos=+0.375",Summe (Baseline),0.001970747485756874,0.422231525182724,0.3114814758300781,0.4387422502040863,,
"d=512, cos=+0.375",Referenz [Summe|Differenz],0.001194406533613801,0.6495944261550903,0.5442795753479004,0.24619647860527039,,
"d=512, cos=+0.375",D-LoRA (gelernt),0.00032601648126728833,0.9043064713478088,0.8807117938995361,0.29198265075683594,,0.02291574701666832
"d=512, cos=+0.625",Summe (Baseline),0.001653876737691462,0.5127300024032593,0.40934044122695923,0.552910566329956,,
"d=512, cos=+0.625",Referenz [Summe|Differenz],0.0011866521090269089,0.6502154469490051,0.5858678817749023,0.3736402094364166,,
"d=512, cos=+0.625",D-LoRA (gelernt),0.0003243785467930138,0.9043365716934204,0.8847581744194031,0.38799041509628296,,0.011760488152503967
"d=512, cos=+0.875",Summe (Baseline),0.001371731166727841,0.605292797088623,0.5217038989067078,0.7835310697555542,,
"d=512, cos=+0.875",Referenz [Summe|Differenz],0.0012029868084937334,0.653633713722229,0.5853397846221924,0.590691328048706,,
"d=512, cos=+0.875",D-LoRA (gelernt),0.0003263266116846353,0.9059916138648987,0.8832482695579529,0.5079973936080933,,0.0480036698281765
