d,acc_base,acc_rot,acc_oracle,acc_mlp,frac_rot,frac_mlp
64,0.4707646071910858,0.7286356687545776,0.9617691040039062,0.5292353630065918,0.5251908347833254,0.11908395176632378
256,0.49175411462783813,0.730134904384613,0.9115442037582397,0.5082458853721619,0.5678571169952643,0.03928575536046256
1024,0.4940029978752136,0.643178403377533,0.8238380551338196,0.4940029978752136,0.45227274123671735,0.0
