layer,sas_trained,sas_null_mean,sas_null_se,z
0,0.5542385578155518,0.8863628596067429,0.15351811832164122,-2.163420874501248
1,0.4112568199634552,0.886684937775135,0.16620227374948024,-2.8605391917098646
2,0.03659592941403389,0.7931948196142912,0.32827398087908355,-2.3047787344405553
3,0.034719184041023254,0.6838005477562547,0.3800229887738527,-1.7080055230592701
4,0.09729127585887909,0.6899010010063649,0.30171008162612956,-1.9641694502003109
5,0.01799817942082882,0.8316876411437988,0.28967393647549355,-2.808984030884008
